TRANSACTION_ID,TRANSACTION_TYPE,TRANSACTION_PURPOSE
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f99052A2BEEFB6F2B09682EBDF3C6935CE333946DE00164D513266CA07CF572282,Debit,Holidays
61343940-11e3-4ef9-900d-78dee080a8796F59380E643992F9F29768A09DB952DD91F08FF4A89628BC1679D76D5D05E01B,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a879F99CA5DD5DDA5C56B0F67F714B74A1B2A3E4811D2E8A218BE2579FE712A1BCFA,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafdAEF019D13C3CB88B1E5FD4C9743392B11ECA8DE9BCCC4B988B1BA96F698995A9,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd4FBC7759DC6543A56DCC782927BE9EBDA8967226A5C32CCFF5DB405D666EBA72,Debit,"Entertainment, TV, Media"
61343940-11e3-4ef9-900d-78dee080a8798DB911755D7255C49C3AB7FA2A9B245533E9E51912EC65743FCC17948CBC4487,Debit,Lunch or Snacks
61343940-11e3-4ef9-900d-78dee080a87929AD0B4F8D6EAD44D2612D93AED7F4CC87C42E8A7BABF300A47D1594778459CF,Debit,Gambling
9219ccc1-8148-486d-bff1-891693d2fafdB16D52C1F37120097223C96328EDC3385699DA3A85454566E309EDECB8550578,Debit,Personal Loan
61343940-11e3-4ef9-900d-78dee080a8790612AD50DF97A00E53EE57149E9A48FE1B10B80B27C292B09A2660A63C6B2DFF,Credit,No Tag
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9B258599534F09F5384DE9E496BA5EA63F80C0E37422AD97B742D5A0A8670597D,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a8791F8B4FD35A91830B2B009D9EED79EDF872459CB4EF42B2DF21D9DA88C6881DD5,Debit,Gambling
61343940-11e3-4ef9-900d-78dee080a87925204074E8CC23447D4D928B2345B084F531910C9224BFA4CD41B73113E06218,Debit,TV / Movies Package
61343940-11e3-4ef9-900d-78dee080a8796D1923E795DBA1A18DAB475ED265586AF6E6FA1A5EB7F1BFADB89E8531CAB2DC,Debit,Enjoyment
9219ccc1-8148-486d-bff1-891693d2fafdA8927869FA8728B31EF8B9C82C2FDDA38AD039FFEA18E061C0C32F651CEDBD98,Debit,"Food, Groceries, Household"
61343940-11e3-4ef9-900d-78dee080a879E429361EA9AEA0798AE02702FFBB78821E5D8623DF81C9AB584C1D535CB2521D,Debit,Transfers
5819bc0b-d64e-4e7b-89b3-a0e1c5e224f9BEEE0E5E8B7749E4FE4EEE5BE3AA72268A648F9B7F8C4D4EFFF6E4B311CBFFD0,Debit,"Food, Groceries, Household"
7f3e9a70-c064-4cf3-8612-bd6a7d6fe7c0818C158847A3405E3CD3211D521A9DAED8135702C6AD5FE563AF99747111862F,Debit,No Tag
9219ccc1-8148-486d-bff1-891693d2fafd52C7F83843181178BBD0D84EF1B49C2D5A83A9C13075F946B6AD494459BBAE88,Credit,Family benefits
